run_id,framework,dataset,strategy,partition_strategy,clients,rounds,samples_per_client,alpha,shards_per_client,epochs,final_accuracy,final_loss,final_accuracy_std,final_worst_client_accuracy,fairness_gap,wall_clock_time_seconds,avg_cpu_usage_percent,avg_peak_memory_mb,avg_compute_time_seconds,avg_comm_size_mb,avg_aggregation_time_sec,started_at,completed_at,n_rounds_logged,framework_label,dataset_label
flower-cifar100-aug24_2326-24c1,flower,cifar100,FedAvg,iid,2,5,1000,,,3,0.16,4.994191974401474,0.01,0.15,0.010000000000000009,46.58,16.0,679.65703125,2.3345555305480956,6.3966217041015625,0.008661937713623048,2026-08-24 23:26:16.600830,2026-08-24 23:27:17.637257,5,Flower,CIFAR-100
flower-cifar100-aug24_2327-d9b1,flower,cifar100,FedAvg,iid,2,10,1000,,,3,0.14,7.667612969875336,0.01,0.13,0.010000000000000009,81.7,11.5,663.4041015625,2.433341324329376,6.3966217041015625,0.009037542343139648,2026-08-24 23:27:31.704560,2026-08-24 23:29:07.657425,10,Flower,CIFAR-100
flower-cifar100-aug24_2329-de7d,flower,cifar100,FedAvg,iid,2,15,1000,,,3,0.17,9.102880299091339,0.0,0.17,0.0,111.26,16.333333333333332,693.8014322916666,2.2586818377176923,6.3966217041015625,0.006997982660929362,2026-08-24 23:29:16.765649,2026-08-24 23:31:22.029991,15,Flower,CIFAR-100
flower-cifar100-aug24_2331-df03,flower,cifar100,FedAvg,iid,5,5,1000,,,3,0.172,3.681639087200165,0.0387,0.12,0.05199999999999999,77.18,16.4,688.4284375,2.289661474227905,6.3966217041015625,0.011871099472045898,2026-08-24 23:31:31.853058,2026-08-24 23:33:03.818771,5,Flower,CIFAR-100
flower-cifar100-aug24_2333-cc1b,flower,cifar100,FedAvg,iid,5,10,1000,,,3,0.204,4.103294706344604,0.0102,0.19,0.013999999999999985,144.66,13.8,691.139375,2.176792321205139,6.3966217041015625,0.012070989608764649,2026-08-24 23:33:16.925094,2026-08-24 23:35:55.837528,10,Flower,CIFAR-100
flower-cifar100-aug24_2336-45b9,flower,cifar100,FedAvg,iid,5,15,1000,,,3,0.19,5.198409783840179,0.0089,0.18,0.010000000000000009,206.9,13.733333333333333,697.54671875,2.0838492743174233,6.3966217041015625,0.010877275466918945,2026-08-24 23:36:02.030422,2026-08-24 23:39:43.954833,15,Flower,CIFAR-100
flower-cifar100-aug24_2339-565b,flower,cifar100,FedAvg,iid,8,5,1000,,,3,0.18,3.5589628256857395,0.0436,0.09,0.09,112.8,15.0,688.32138671875,2.0614933371543884,6.3966217041015625,0.01663684844970703,2026-08-24 23:39:47.163615,2026-08-24 23:41:53.951309,5,Flower,CIFAR-100
flower-cifar100-aug24_2342-aedf,flower,cifar100,FedAvg,iid,8,10,1000,,,3,0.2325,3.655932944267988,0.029,0.19,0.04250000000000001,212.92,14.875,706.870556640625,2.077115127444267,6.3966217041015625,0.015512752532958984,2026-08-24 23:42:02.258690,2026-08-24 23:45:50.239230,10,Flower,CIFAR-100
flower-cifar100-aug24_2346-e72b,flower,cifar100,FedAvg,iid,8,15,1000,,,3,0.25125,4.194311663508415,0.0318,0.2,0.05124999999999996,313.56,15.0,712.70478515625,2.1190150400002796,6.3966217041015625,0.01639582316080729,2026-08-24 23:46:02.412018,2026-08-24 23:51:30.831981,15,Flower,CIFAR-100
flower-cifar100-aug24_2351-93c3,flower,cifar100,FedAvg,iid,2,5,2000,,,3,0.195,4.318319405828204,0.02,0.175,0.020000000000000018,56.38,14.0,689.642578125,4.203596520423889,6.3966217041015625,0.008120441436767578,2026-08-24 23:51:32.619360,2026-08-24 23:52:42.906235,5,Flower,CIFAR-100
flower-cifar100-aug24_2352-2cf1,flower,cifar100,FedAvg,iid,2,10,2000,,,3,0.185,6.920975514820643,0.005,0.18,0.0050000000000000044,98.81,11.0,687.006640625,3.8599836587905885,6.3966217041015625,0.006682133674621582,2026-08-24 23:52:47.663428,2026-08-24 23:54:40.637490,10,Flower,CIFAR-100
flower-cifar100-aug24_2354-e022,flower,cifar100,FedAvg,iid,2,15,2000,,,3,0.1925,8.409304244177683,0.0125,0.18,0.012500000000000011,144.24,9.333333333333334,684.5966145833333,3.945612637201945,6.3966217041015625,0.006685622533162435,2026-08-24 23:54:47.729130,2026-08-24 23:57:26.208273,15,Flower,CIFAR-100
flower-cifar100-aug24_2357-3158,flower,cifar100,FedAvg,iid,5,5,2000,,,3,0.232,3.1750404698508126,0.033,0.2,0.032,90.01,13.6,707.46578125,4.494930896759033,6.3966217041015625,0.012169075012207032,2026-08-24 23:57:32.815473,2026-08-24 23:59:17.304857,5,Flower,CIFAR-100
flower-cifar100-aug24_2359-8b5d,flower,cifar100,FedAvg,iid,5,10,2000,,,3,0.258,4.193679543903895,0.0136,0.24,0.018000000000000016,170.42,11.2,704.598046875,4.493951292037964,6.3966217041015625,0.011737346649169922,2026-08-24 23:59:17.880780,2026-08-25 00:02:22.150705,10,Flower,CIFAR-100
flower-cifar100-aug25_0002-d966,flower,cifar100,FedAvg,iid,5,15,2000,,,3,0.263,5.278198759896415,0.0196,0.235,0.028000000000000025,248.67,13.2,716.5325,4.19277348836263,6.3966217041015625,0.011257489522298178,2026-08-25 00:02:32.990038,2026-08-25 00:06:55.977546,15,Flower,CIFAR-100
flower-cifar100-aug25_0007-014a,flower,cifar100,FedAvg,iid,8,5,2000,,,3,0.235,3.1733820864132474,0.0282,0.195,0.03999999999999998,124.72,13.5,704.90126953125,4.334439158439636,6.3966217041015625,0.016258049011230468,2026-08-25 00:07:03.137426,2026-08-25 00:09:22.403471,5,Flower,CIFAR-100
flower-cifar100-aug25_0009-933e,flower,cifar100,FedAvg,iid,8,10,2000,,,3,0.2775,3.376637720635959,0.0162,0.255,0.02250000000000002,236.73,13.625,723.343115234375,4.1722178786993025,6.3966217041015625,0.01586441993713379,2026-08-25 00:09:33.223319,2026-08-25 00:13:44.666144,10,Flower,CIFAR-100
flower-cifar100-aug25_0013-7f21,flower,cifar100,FedAvg,iid,8,15,2000,,,3,0.283125,4.1407423828329355,0.0229,0.26,0.023125000000000007,346.35,14.666666666666666,729.9828125,3.9656784574190778,6.3966217041015625,0.017529010772705078,2026-08-25 00:13:48.371601,2026-08-25 00:19:48.827764,15,Flower,CIFAR-100
flower-cifar100-aug25_0020-7a52,flower,cifar100,FedAvg,iid,2,5,4000,,,3,0.245,3.6560319111897392,0.01,0.235,0.010000000000000009,74.53,16.0,717.682421875,8.03981635570526,6.3966217041015625,0.010023546218872071,2026-08-25 00:20:03.607701,2026-08-25 00:21:32.064101,5,Flower,CIFAR-100
flower-cifar100-aug25_0021-02d8,flower,cifar100,FedAvg,iid,2,10,4000,,,3,0.24625,6.659672581232511,0.0213,0.225,0.02124999999999999,140.19,12.0,719.682421875,7.899431157112121,6.3966217041015625,0.0066081762313842775,2026-08-25 00:21:33.664738,2026-08-25 00:24:08.081637,10,Flower,CIFAR-100
flower-cifar100-aug25_0024-4436,flower,cifar100,FedAvg,iid,2,15,4000,,,3,0.2625,7.590653933011569,0.0125,0.25,0.012500000000000011,209.93,15.666666666666666,732.5778645833333,8.036626887321471,6.3966217041015625,0.007268428802490234,2026-08-25 00:24:18.747071,2026-08-25 00:28:03.095589,15,Flower,CIFAR-100
flower-cifar100-aug25_0028-20ec,flower,cifar100,FedAvg,iid,5,5,4000,,,3,0.3105,2.8293742033151474,0.02,0.2775,0.032999999999999974,114.85,16.0,727.950625,8.616171131134033,6.3966217041015625,0.013124465942382812,2026-08-25 00:28:03.855942,2026-08-25 00:30:13.185280,5,Flower,CIFAR-100
flower-cifar100-aug25_0030-40fa,flower,cifar100,FedAvg,iid,5,10,4000,,,3,0.343,3.7203202192599956,0.0196,0.31,0.03300000000000003,211.05,13.4,737.628359375,8.236145377159119,6.3966217041015625,0.01056208610534668,2026-08-25 00:30:18.933533,2026-08-25 00:34:04.367922,10,Flower,CIFAR-100
flower-cifar100-aug25_0034-9dce,flower,cifar100,FedAvg,iid,5,15,4000,,,3,0.333,4.714942638690656,0.0246,0.3,0.03300000000000003,315.66,16.0,744.8203125,7.990738779703776,6.3966217041015625,0.013055626551310222,2026-08-25 00:34:19.058842,2026-08-25 00:39:48.931376,15,Flower,CIFAR-100
flower-cifar100-aug25_0039-6a25,flower,cifar100,FedAvg,iid,8,5,4000,,,3,0.333125,2.747562199831009,0.019,0.3075,0.02562500000000001,146.57,12.75,721.2837890625,8.18784632086754,6.3966217041015625,0.020215177536010744,2026-08-25 00:39:49.243224,2026-08-25 00:42:29.689906,5,Flower,CIFAR-100
flower-cifar100-aug25_0042-60fc,flower,cifar100,FedAvg,iid,8,10,4000,,,3,0.3375,3.162631472715965,0.0186,0.3025,0.03500000000000003,278.51,14.248750000000001,743.170361328125,8.053123584389686,6.3966217041015625,0.015520906448364258,2026-08-25 00:42:34.345907,2026-08-25 00:47:27.913275,10,Flower,CIFAR-100
flower-cifar100-aug25_0047-8cf6,flower,cifar100,FedAvg,iid,8,15,4000,,,3,0.35875,3.9987160953191614,0.0178,0.3375,0.02124999999999999,416.65,16.166666666666668,752.6428385416667,8.426330234607061,6.3966217041015625,0.01615422566731771,2026-08-25 00:47:34.537047,2026-08-25 00:54:45.304610,15,Flower,CIFAR-100
flower-femnist-aug25_0054-92f2,flower,femnist,FedAvg,iid,2,5,1000,,,3,0.69,1.3229988366365433,0.02,0.67,0.019999999999999907,101.93,12.0,902.15625,1.6329581975936889,6.320060729980469,0.008497858047485351,2026-08-25 00:54:49.818228,2026-08-25 00:56:47.213684,5,Flower,FEMNIST
flower-femnist-aug25_0056-3719,flower,femnist,FedAvg,iid,2,10,1000,,,3,0.725,1.7770761102437973,0.025,0.7,0.025000000000000022,193.11,10.5,905.612890625,1.8133612751960755,6.320060729980469,0.007802438735961914,2026-08-25 00:56:49.891140,2026-08-25 01:00:17.911190,10,Flower,FEMNIST
flower-femnist-aug25_0100-1ae0,flower,femnist,FedAvg,iid,2,15,1000,,,3,0.695,2.1356941908597946,0.015,0.68,0.014999999999999902,281.55,12.333333333333334,922.459375,1.7316277345021567,6.320060729980469,0.0077327251434326175,2026-08-25 01:00:19.998340,2026-08-25 01:05:15.923837,15,Flower,FEMNIST
flower-femnist-aug25_0105-771c,flower,femnist,FedAvg,iid,5,5,1000,,,3,0.712,0.9927286565303802,0.0426,0.65,0.061999999999999944,134.28,9.6,906.6034375,1.889836359024048,6.320060729980469,0.012549924850463866,2026-08-25 01:05:20.147902,2026-08-25 01:07:48.456724,5,Flower,FEMNIST
flower-femnist-aug25_0107-814d,flower,femnist,FedAvg,iid,5,10,1000,,,3,0.728,0.9798690125346183,0.0354,0.67,0.05799999999999994,256.93,12.6,927.11546875,1.799428834915161,6.320060729980469,0.01267240047454834,2026-08-25 01:07:50.232891,2026-08-25 01:12:21.530418,10,Flower,FEMNIST
flower-femnist-aug25_0112-504e,flower,femnist,FedAvg,iid,5,15,1000,,,3,0.756,1.0613173812627792,0.0356,0.7,0.05600000000000005,385.03,11.866666666666667,930.35984375,1.7535621452331542,6.320060729980469,0.012593237559000652,2026-08-25 01:12:35.386090,2026-08-25 01:19:14.832753,15,Flower,FEMNIST
flower-femnist-aug25_0119-5fc6,flower,femnist,FedAvg,iid,8,5,1000,,,3,0.755,0.8959528517443687,0.0406,0.68,0.07499999999999996,169.31,11.25,912.4439453125,1.8018029510974884,6.320060729980469,0.016990184783935547,2026-08-25 01:19:20.607110,2026-08-25 01:22:25.958508,5,Flower,FEMNIST
flower-femnist-aug25_0122-1b13,flower,femnist,FedAvg,iid,8,10,1000,,,3,0.79875,0.7304086284711957,0.0232,0.77,0.028749999999999942,331.59,11.875,929.3349609375,1.8326150864362716,6.320060729980469,0.014080548286437988,2026-08-25 01:22:35.719788,2026-08-25 01:28:21.789105,10,Flower,FEMNIST
flower-femnist-aug25_0128-3557,flower,femnist,FedAvg,iid,8,15,1000,,,3,0.79,0.7434263336472213,0.0377,0.73,0.06000000000000005,489.07,11.333333333333334,936.0003255208334,1.8572475214799244,6.320060729980469,0.01506803830464681,2026-08-25 01:28:35.921142,2026-08-25 01:36:59.847056,15,Flower,FEMNIST
flower-femnist-aug25_0137-1d07,flower,femnist,FedAvg,iid,2,5,2000,,,3,0.79,0.7472566536494664,0.02,0.77,0.020000000000000018,110.18,12.0,906.657421875,3.919164943695068,6.320060729980469,0.00833439826965332,2026-08-25 01:37:06.221761,2026-08-25 01:39:10.438552,5,Flower,FEMNIST
flower-femnist-aug25_0139-3f37,flower,femnist,FedAvg,iid,2,10,2000,,,3,0.8025,1.0296837325607027,0.0075,0.795,0.007499999999999951,215.12,10.5,906.1392578125,3.860054624080658,6.320060729980469,0.006626009941101074,2026-08-25 01:39:21.297986,2026-08-25 01:43:11.274153,10,Flower,FEMNIST
flower-femnist-aug25_0143-466e,flower,femnist,FedAvg,iid,2,15,2000,,,3,0.795,1.3648865159068788,0.01,0.785,0.010000000000000009,325.57,13.333333333333334,923.2334635416667,3.9704206943511964,6.320060729980469,0.007860390345255534,2026-08-25 01:43:21.415818,2026-08-25 01:49:01.360880,15,Flower,FEMNIST
flower-femnist-aug25_0149-f203,flower,femnist,FedAvg,iid,5,5,2000,,,3,0.788,0.7335110519613538,0.0319,0.735,0.05300000000000005,145.35,11.6,911.84671875,3.613546161651611,6.320060729980469,0.012553691864013672,2026-08-25 01:49:06.586900,2026-08-25 01:51:46.415918,5,Flower,FEMNIST
flower-femnist-aug25_0151-a3c6,flower,femnist,FedAvg,iid,5,10,2000,,,3,0.791,0.891233938080924,0.0213,0.77,0.02100000000000002,287.02,12.198,926.190390625,4.023056607246399,6.320060729980469,0.01347510814666748,2026-08-25 01:51:51.678507,2026-08-25 01:56:53.232583,10,Flower,FEMNIST
flower-femnist-aug25_0157-ef9f,flower,femnist,FedAvg,iid,5,15,2000,,,3,0.789,1.1136827026094709,0.0198,0.765,0.02400000000000002,415.59,12.4,933.3811979166667,3.9115130424499513,6.320060729980469,0.011562474568684896,2026-08-25 01:57:06.847933,2026-08-25 02:04:17.222003,15,Flower,FEMNIST
flower-femnist-aug25_0204-5a52,flower,femnist,FedAvg,iid,8,5,2000,,,3,0.805,0.6724877306925399,0.025,0.77,0.03500000000000003,184.12,11.25,910.80537109375,3.6554944813251495,6.320060729980469,0.01545419692993164,2026-08-25 02:04:22.086113,2026-08-25 02:07:40.331917,5,Flower,FEMNIST
flower-femnist-aug25_0207-b268,flower,femnist,FedAvg,iid,8,10,2000,,,3,0.82375,0.6564907961125885,0.0169,0.785,0.03874999999999995,357.97,12.75,938.63662109375,3.742683732509613,6.320060729980469,0.017546844482421876,2026-08-25 02:07:52.204242,2026-08-25 02:14:04.513906,10,Flower,FEMNIST
flower-femnist-aug25_0214-2d0b,flower,femnist,FedAvg,iid,8,15,2000,,,3,0.824375,0.7176826483170902,0.0288,0.785,0.03937499999999994,521.7,12.25,943.6807291666667,3.5961148897806803,6.320060729980469,0.014214181900024414,2026-08-25 02:14:07.412451,2026-08-25 02:23:03.397946,15,Flower,FEMNIST
flower-femnist-aug25_0223-2e2f,flower,femnist,FedAvg,iid,2,5,4000,,,3,0.8175,0.7578066707803653,0.0075,0.81,0.007499999999999951,133.51,12.99,911.67890625,8.180109143257141,6.320060729980469,0.009140491485595703,2026-08-25 02:23:07.725011,2026-08-25 02:25:35.643731,5,Flower,FEMNIST
flower-femnist-aug25_0225-78ff,flower,femnist,FedAvg,iid,2,10,4000,,,3,0.81125,0.9518321764010651,0.0062,0.805,0.006249999999999978,227.55,12.5,923.4326171875,6.50808801651001,6.320060729980469,0.00898725986480713,2026-08-25 02:25:37.807649,2026-08-25 02:29:39.758517,10,Flower,FEMNIST
flower-femnist-aug25_0229-ebb3,flower,femnist,FedAvg,iid,2,15,4000,,,3,0.785,1.412662931932853,0.0075,0.7775,0.007500000000000062,355.61,14.0,933.63828125,6.767327777544657,6.320060729980469,0.007908376057942708,2026-08-25 02:29:52.932301,2026-08-25 02:36:03.181450,15,Flower,FEMNIST
flower-femnist-aug25_0236-4a9e,flower,femnist,FedAvg,iid,5,5,4000,,,3,0.8245,0.6086790575430944,0.0121,0.8075,0.017000000000000015,172.29,13.6,924.368125,7.58475513458252,6.320060729980469,0.013207387924194337,2026-08-25 02:36:08.112923,2026-08-25 02:39:14.874432,5,Flower,FEMNIST
flower-femnist-aug25_0239-b34c,flower,femnist,FedAvg,iid,5,10,4000,,,3,0.83,0.7103715532101118,0.0115,0.81,0.019999999999999907,314.39,12.6,932.95078125,7.238971347808838,6.320060729980469,0.01106266975402832,2026-08-25 02:39:23.217955,2026-08-25 02:44:51.654916,10,Flower,FEMNIST
flower-femnist-aug25_0244-3540,flower,femnist,FedAvg,iid,5,15,4000,,,3,0.8175,0.8761621922254562,0.0104,0.8025,0.015000000000000013,463.13,12.666666666666666,940.3915104166666,6.96465841293335,6.320060729980469,0.011491870880126953,2026-08-25 02:44:53.393259,2026-08-25 02:52:50.840713,15,Flower,FEMNIST
flower-femnist-aug25_0252-af13,flower,femnist,FedAvg,iid,8,5,4000,,,3,0.8353125,0.5149077028036118,0.0167,0.81,0.02531249999999996,210.75,11.75,918.28623046875,7.875266498327255,6.320060729980469,0.018915700912475585,2026-08-25 02:52:53.651104,2026-08-25 02:56:39.219138,5,Flower,FEMNIST
flower-femnist-aug25_0256-f520,flower,femnist,FedAvg,iid,8,10,4000,,,3,0.8465625,0.5094557304938252,0.0132,0.8275,0.019062499999999982,392.45,13.375,948.070166015625,7.614801752567291,6.320060729980469,0.018110442161560058,2026-08-25 02:56:53.781542,2026-08-25 03:03:41.348380,10,Flower,FEMNIST
flower-femnist-aug25_0303-e6da,flower,femnist,FedAvg,iid,8,15,4000,,,3,0.8446875,0.5713555296309866,0.0139,0.825,0.01968750000000008,592.66,14.25,952.2506184895833,7.412655504544576,6.320060729980469,0.016676584879557293,2026-08-25 03:03:54.002233,2026-08-25 03:14:01.374965,15,Flower,FEMNIST
nvflare-cifar100-aug25_1350-caee,nvflare,cifar100,FedAvg,iid,2,5,1000,,,3,0.1,4.265886127948761,0.005,0.1,0.0,54.93,17.990000000000002,687.159765625,2.0681670904159546,6.3966217041015625,2.532,2026-08-25 13:50:13.040686,2026-08-25 13:51:08.761967,5,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1351-b968,nvflare,cifar100,FedAvg,iid,2,10,1000,,,3,0.17,7.139050245285034,0.01,0.15,0.020000000000000018,66.64,17.979999999999997,598.940234375,1.7040640473365785,6.3966217041015625,2.84,2026-08-25 13:51:13.150204,2026-08-25 13:52:20.399666,10,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1352-d783,nvflare,cifar100,FedAvg,iid,2,15,1000,,,3,0.14,8.655160427093506,0.01,0.14,0.0,96.51,17.316666666666663,603.9239583333333,1.854146401087443,6.3966217041015625,3.1853333333333333,2026-08-25 13:52:28.210512,2026-08-25 13:54:05.332217,15,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1354-eaff,nvflare,cifar100,FedAvg,iid,5,5,1000,,,3,0.14,3.6610273122787476,0.042,0.1,0.04000000000000001,49.04,14.8,597.1040625,1.744431037902832,6.3966217041015625,3.168,2026-08-25 13:54:13.288810,2026-08-25 13:55:02.989017,5,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1355-de9f,nvflare,cifar100,FedAvg,iid,5,10,1000,,,3,0.19,3.953104019165039,0.0049,0.18,0.010000000000000009,76.37,15.993999999999998,593.166484375,1.8572160720825195,6.3966217041015625,3.372,2026-08-25 13:55:13.345200,2026-08-25 13:56:30.356749,10,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1356-637c,nvflare,cifar100,FedAvg,iid,5,15,1000,,,3,0.23,5.278520822525024,0.0183,0.19,0.04000000000000001,100.14,16.126666666666665,600.37421875,1.7163900979359945,6.3966217041015625,3.4453333333333322,2026-08-25 13:56:43.426379,2026-08-25 13:58:24.215137,15,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1358-a1c9,nvflare,cifar100,FedAvg,iid,8,5,1000,,,3,0.13,4.076043784618378,0.0285,0.12,0.010000000000000009,52.19,16.737499999999997,595.98525390625,1.977354246377945,6.3966217041015625,2.4560000000000004,2026-08-25 13:58:28.515067,2026-08-25 13:59:21.315285,5,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1359-adb1,nvflare,cifar100,FedAvg,iid,8,10,1000,,,3,0.22,4.597958087921143,0.0183,0.22,0.0,80.74,16.87375,597.45771484375,1.9148601293563843,6.3966217041015625,3.582,2026-08-25 13:59:28.574442,2026-08-25 14:00:49.945222,10,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1400-ffa8,nvflare,cifar100,FedAvg,iid,8,15,1000,,,3,0.21,5.328178524971008,0.0409,0.15,0.06,106.07,15.830000000000004,598.83662109375,1.788666558265686,6.3966217041015625,3.5973333333333324,2026-08-25 14:00:58.650823,2026-08-25 14:02:45.323076,15,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1402-163b,nvflare,cifar100,FedAvg,iid,2,5,2000,,,3,0.215,3.6303364549364363,0.02,0.175,0.04000000000000001,51.55,16.98,614.55625,3.5010858535766602,6.3966217041015625,2.756,2026-08-25 14:02:58.752982,2026-08-25 14:03:50.918084,5,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1403-7e41,nvflare,cifar100,FedAvg,iid,2,10,2000,,,3,0.21,5.884209632873535,0.0175,0.175,0.035,85.77,16.490000000000002,621.262109375,3.582316482067108,6.3966217041015625,2.9219999999999997,2026-08-25 14:03:58.804977,2026-08-25 14:05:25.199912,10,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1405-3f45,nvflare,cifar100,FedAvg,iid,2,15,2000,,,3,0.24,6.489568914685931,0.0375,0.165,0.07499999999999998,123.92,16.643333333333327,615.6430989583333,3.940351359049479,6.3966217041015625,2.9793333333333334,2026-08-25 14:05:28.867730,2026-08-25 14:07:33.421765,15,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1407-d675,nvflare,cifar100,FedAvg,iid,5,5,2000,,,3,0.21,3.235994134630476,0.01,0.195,0.014999999999999986,60.57,15.595999999999998,608.85609375,3.775416917800903,6.3966217041015625,4.042,2026-08-25 14:07:43.951815,2026-08-25 14:08:45.157774,5,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1408-dd39,nvflare,cifar100,FedAvg,iid,5,10,2000,,,3,0.27,3.773438044956752,0.0157,0.24,0.030000000000000027,95.91,17.596,616.642734375,3.4656933116912843,6.3966217041015625,3.928,2026-08-25 14:08:59.014094,2026-08-25 14:10:35.541098,10,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1410-2508,nvflare,cifar100,FedAvg,iid,5,15,2000,,,3,0.275,4.696019206728254,0.032,0.21,0.06500000000000003,138.67,16.264,617.22703125,3.538031209309896,6.3966217041015625,4.239999999999999,2026-08-25 14:10:44.091780,2026-08-25 14:13:03.364572,15,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1413-707f,nvflare,cifar100,FedAvg,iid,8,5,2000,,,3,0.22,3.1199228082384383,0.0219,0.205,0.015000000000000013,63.68,16.5,611.31650390625,3.6254774212837217,6.3966217041015625,5.159999999999999,2026-08-25 14:13:14.194852,2026-08-25 14:14:18.497644,5,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1414-350e,nvflare,cifar100,FedAvg,iid,8,10,2000,,,3,0.26,3.4038520199911937,0.0207,0.22,0.04000000000000001,100.56,15.372499999999999,615.8427734375,3.597049969434738,6.3966217041015625,3.786,2026-08-25 14:14:29.255543,2026-08-25 14:16:10.459472,10,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1416-c4f5,nvflare,cifar100,FedAvg,iid,8,15,2000,,,3,0.275,4.390653508050101,0.0159,0.27,0.0050000000000000044,138.23,15.830833333333334,617.0277994791667,3.504887956380844,6.3966217041015625,4.135333333333333,2026-08-25 14:16:14.335386,2026-08-25 14:18:33.170388,15,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1418-9fc7,nvflare,cifar100,FedAvg,iid,2,5,4000,,,3,0.285,3.2877991382892313,0.0087,0.2675,0.01749999999999996,72.43,19.97,634.980078125,7.1856098651885985,6.3966217041015625,3.3840000000000003,2026-08-25 14:18:44.453315,2026-08-25 14:19:57.513026,5,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1419-826c,nvflare,cifar100,FedAvg,iid,2,10,4000,,,3,0.275,5.802654779874361,0.0225,0.23,0.04500000000000001,127.07,11.995000000000001,636.064453125,7.274407279491425,6.3966217041015625,3.0650000000000004,2026-08-25 14:19:59.509572,2026-08-25 14:22:07.215663,10,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1422-5fc2,nvflare,cifar100,FedAvg,iid,2,15,4000,,,3,0.2775,7.138859785520113,0.0225,0.2325,0.04500000000000001,181.18,16.31333333333333,632.183203125,7.088183188438416,6.3966217041015625,3.003333333333333,2026-08-25 14:22:14.595629,2026-08-25 14:25:16.395325,15,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1425-a203,nvflare,cifar100,FedAvg,iid,5,5,4000,,,3,0.31,2.869963077398447,0.0227,0.275,0.034999999999999976,79.64,17.991999999999997,629.6371875,7.165253667831421,6.3966217041015625,3.7760000000000007,2026-08-25 14:25:29.710158,2026-08-25 14:26:49.984687,5,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1426-4a97,nvflare,cifar100,FedAvg,iid,5,10,4000,,,3,0.38,3.3286443857046275,0.0323,0.3025,0.07750000000000001,129.81,15.398,633.845234375,6.701806726455689,6.3966217041015625,4.426,2026-08-25 14:26:59.775618,2026-08-25 14:29:10.197469,10,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1429-9de7,nvflare,cifar100,FedAvg,iid,5,15,4000,,,3,0.3425,4.42462655214163,0.0266,0.29,0.05250000000000005,196.24,17.192000000000007,636.79953125,6.752200489044189,6.3966217041015625,5.108,2026-08-25 14:29:14.869529,2026-08-25 14:32:31.702764,15,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1432-6741,nvflare,cifar100,FedAvg,iid,8,5,4000,,,3,0.3025,2.7683597711416392,0.0162,0.285,0.017500000000000016,82.1,15.0,629.926953125,7.14819872379303,6.3966217041015625,3.444,2026-08-25 14:32:45.004201,2026-08-25 14:34:07.749940,5,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1434-7249,nvflare,cifar100,FedAvg,iid,8,10,4000,,,3,0.3525,2.980728131074172,0.0216,0.305,0.04749999999999999,142.29,15.872500000000002,633.75166015625,7.166526877880097,6.3966217041015625,4.985000000000001,2026-08-25 14:34:15.070264,2026-08-25 14:36:38.004923,10,NVFlare,CIFAR-100
nvflare-cifar100-aug25_1436-1ab2,nvflare,cifar100,FedAvg,iid,8,15,4000,,,3,0.3675,3.6803123217362623,0.0263,0.3225,0.044999999999999984,199.18,15.164166666666668,632.7841471354167,6.897021357218424,6.3966217041015625,4.543999999999999,2026-08-25 14:36:45.179311,2026-08-25 14:40:05.001316,15,NVFlare,CIFAR-100
nvflare-femnist-aug25_1440-7db4,nvflare,femnist,FedAvg,iid,2,5,1000,,,3,0.68,1.3821724653244019,0.01,0.66,0.020000000000000018,57.66,17.970000000000002,840.374609375,1.5026214838027954,6.320060729980469,3.282000000000001,2026-08-25 14:40:15.333179,2026-08-25 14:41:13.696591,5,NVFlare,FEMNIST
nvflare-femnist-aug25_1441-01aa,nvflare,femnist,FedAvg,iid,2,10,1000,,,3,0.75,1.5090941488742828,0.02,0.71,0.040000000000000036,73.21,17.474999999999998,816.9423828125,1.6036383628845214,6.320060729980469,2.942,2026-08-25 14:41:15.381462,2026-08-25 14:42:29.197910,10,NVFlare,FEMNIST
